"tree_ID","ply_model","species","intercept_hol","slope_hol","r2_hol","p_hol","intercept_rot","slope_rot","r2_rot","p_rot","intercept_alld","slope_alld","r2_alld","p_alld"
"Planch1_lower","AM3_iron_ranges_boundary_lower.0758","Planchonia careya",-11.6701373638003,1.44623040309192,0.904121043201274,0.0491472021383782,0,0,NA,NA,-11.6701373638003,1.44623040309192,0.904121043201274,0.0491472021383782
"Planch2_lower","AM3_iron_ranges_boundary_lower.0808","Planchonia careya",-1.63246673214852,0.317158612095698,0.590267021180632,0.129137748524265,0,0,NA,NA,-1.63246673214852,0.317158612095698,0.590267021180632,0.129137748524265
"Loph1_lower","AM3_iron_ranges_boundary_lower.0848","Lophostemon suaveolens",0,0,NA,NA,-3.43483010314729,0.549770816550462,0.91484261293042,0.188519907464659,-3.43483010314729,0.549770816550462,0.91484261293042,0.188519907464659
"1_lower","AM3_iron_ranges_boundary_lower.1760","Lophostemon suaveolens",-0.0938891693918577,0.00489866286633862,0.735415750751848,0.0631336218002686,0,0,NA,NA,-0.0938891693918577,0.00489866286633862,0.735415750751848,0.0631336218002686
"5_lower","AM3_iron_ranges_boundary_lower.1973","Planchonia careya",1.14873472827651,-0.0110960517649573,0.00136275415663972,0.96308449977801,-0.881884861162916,0.104854034761662,0.756593897928507,0.130175938520607,0.266849867113591,0.0937579829967043,0.079157187868562,0.718651127834921
"Cor1_upper","Firebreak_upper.0083","Corymbia sp. (clarksoniana/novoguinensis) ",-6.32339165571634,1.18149695421154,0.659968994698886,0.187615242204234,6.30392228390056,-0.342780133332579,0.325398726475016,0.429562688391602,-0.0194693718157801,0.838716820878963,0.298382851448234,0.453755685202826
"Golden1_upper","Firebreak_upper.0281","Deplanchea tetraphylla",-4.29205739526587,0.662053649990058,0.697770636413082,0.370557021472055,0,0,NA,NA,-4.29205739526587,0.662053649990058,0.697770636413082,0.370557021472055
"Loph2_upper","Firebreak_upper.0362","Lophostemon suaveolens",-0.0146296755787665,0.00318655356242945,0.258364250104265,0.491704564151649,-3.34555351951989,0.707569827383269,0.33653251077861,0.419885777817325,-3.36018319509866,0.710756380945698,0.336119820164579,0.420241584653936
"6_upper","Firebreak_upper.0456","Corymbia sp. (clarksoniana/novoguinensis) ",-0.625418603961739,0.145426614470447,0.220061388859678,0.347955652066915,0,0,NA,NA,-0.625418603961739,0.145426614470447,0.220061388859678,0.347955652066915
"3_upper","Firebreak_upper.0689","Lophostemon suaveolens",-0.163744908360011,0.0146632735860861,0.449913973753539,0.144756904419132,0.0627059688895013,-9.91918906554504e-07,7.91173259697162e-09,0.9998665781193,-0.10103893947051,0.0146622816671795,0.425926376008548,0.160040712688577
"4_upper","Firebreak_upper.0700","Corymbia sp. (clarksoniana/novoguinensis) ",-12.1386337066403,1.59567891290319,0.961047845244123,0.00057653019731565,6.69638126753677,-0.215537892568442,0.484018967023745,0.124797484218508,-5.44225243910348,1.38014102033475,0.881964335033961,0.00544504637240084
"5_upper","Firebreak_upper.0704","Parinari nonda",0.153574551168334,0.00730183306981361,0.0579412674750324,0.696504530166452,0,0,NA,NA,0.153574551168334,0.00730183306981361,0.0579412674750324,0.696504530166452
