tree_id,ply_model,species,dbh_observed_cm_tidy,stump_ABG_dry_weight_kg,new_cyl_vol_HFB_L,dry_density_published,wd_species_level_field,sd,paul_2016_type_c,paul_2013_universal_dbh_c,brown_c,willams_woodland_c,chave_lit_dens_c_kg,chave_scaled_dens_c_kg,TLS_ABG_dry_lit_dens_kg,TLS_est_ABG_dry_scaled_kg,obs_ABG_dry_kg,williams,paul2016,paul2013,brown,chave_L,chave_F,TLS_L,TLS_F
Cor1_upper,Firebreak_upper.0083,Corymbia sp. (clarksoniana/novoguinensis) ,16.2,14.65,109.003,0.7204,0.667544218791304,0.0829111358529929,84.761,75.596,72.343,95.955,98.72,81.08,78.52522231,66.07252629,81.362,95.9561476189935,84.7630388254415,75.5977776633525,72.3449907832512,98.6582956929402,90.5370535750008,78.5257612,72.7643224809085
Loph1_upper,Firebreak_upper.0108,Lophostemon suaveolens,6.2,0,13.435,0.551,0.568797555022222,0.0413758919524916,10.157,10.199,9.371,10.186,7.65,7.59,7.403392892,7.356624891,6.698,10.1863908935139,10.1572338748683,10.1992108102816,9.37061580827782,7.64105746108536,7.88185136506539,7.402685,7.64179515172356
Planch3_upper,Firebreak_upper.0114,Planchonia careya,10.5,0,27.865,0.6458,0.513332816370833,0.0516890920801603,35.495,33.724,31.811,37.683,34.17,28.1,17.99364501,14.73141512,20.052,37.6831919158401,35.4952120591897,33.7238494732844,31.8110926495832,34.1549379544923,27.2990330991074,17.995217,14.3040189281733
Planch4_upper,Firebreak_upper.0140,Planchonia careya,6,0,14.541,0.6458,0.513332816370833,0.0516890920801603,9.396,9.468,8.684,9.39,8.21,6.77,9.38962745,7.715822082,5.342,9.38987700138348,9.39624667332489,9.4676189802769,8.68420993296667,8.20200980342223,6.55562417947174,9.3905778,7.46437248284829
Golden1_upper,Firebreak_upper.0281,Deplanchea tetraphylla,16.7,0,68.251,0.4262,0.427449562933333,0.0482560493824572,106.855,96.695,93.352,119.278,73.29,81.01,29.08841028,32.24712776,20.022,119.27785022902,106.855482284376,96.6949565912348,93.3515698682903,73.2570406397247,73.4666586586514,29.0885762,29.1738601197629
Golden3_upper,Firebreak_upper.0283,Deplanchea tetraphylla,4.9,0,3.347,0.4262,0.427449562933333,0.0482560493824572,5.808,5.978,5.428,5.679,3.25,3.5,1.426573483,1.538252299,2.876,5.67882414186639,5.80845835454308,5.97836648985083,5.42843095524281,3.24754135314326,3.2568338822829,1.4264914,1.43067368713787
LophX_upper,Firebreak_upper.0293,Lophostemon suaveolens,9.2,0,38.648,0.551,0.568797555022222,0.0413758919524916,25.932,24.982,23.41,27.14,20.93,22.53,21.2967173,22.9729621,28.2,27.1402652418795,25.9323144888104,24.9824945500939,23.4103104023825,20.9205039611311,21.5797752527927,21.295048,21.9828879064988
Planch10_upper,Firebreak_upper.0303,Planchonia careya,8,0,13.768,0.6458,0.513332816370833,0.0516890920801603,18.607,18.191,16.927,19.182,17.12,12.64,8.890624783,6.516406629,8.884,19.1820615558933,18.6073235326598,18.1907960096919,16.9273191495799,17.1166986371412,13.6808716580118,8.8913744,7.06756621579363
Loph2_upper,Firebreak_upper.0362,Lophostemon suaveolens,19,22.78,121.474,0.551,0.568797555022222,0.0413758919524916,122.388,106.816,103.145,141.541,107.26,110.34,66.93700305,68.59630614,66.397,141.54574130766,122.39271268604,106.820926849332,103.149583480714,107.191213196881,111.287017473984,66.932174,69.0941141987694
Planch13_upper,Firebreak_upper.0370,Planchonia careya,10.5,0,36.52,0.6458,0.513332816370833,0.0516890920801603,35.495,33.724,31.811,37.683,34.17,28.67,23.58261539,19.70993882,23.696,37.6831919158401,35.4952120591897,33.7238494732844,31.8110926495832,34.1549379544923,27.2990330991074,23.584616,18.7469144538628
Planch11_upper,Firebreak_upper.0372,Planchonia careya,5.14,0,20.654,0.6458,0.513332816370833,0.0516890920801603,6.498,6.655,6.057,6.386,5.51,4.53,13.33720058,10.933738,14.685,6.39477184833682,6.50702683018266,6.66382699364835,6.06532181602814,5.51079983243713,4.40461953784548,13.3383532,10.6023759893232
6_upper,Firebreak_upper.0456,Corymbia sp. (clarksoniana/novoguinensis) ,28.8,60.87,804.329,0.7204,0.667544218791304,0.0829111358529929,328.987,272.297,269.662,400.716,413.92,411.54,579.4367329,576.776925,603.304,400.713227984773,328.984317517692,272.294240002703,269.65931555198,413.66684885886,379.654964557727,579.4386116,536.925173956191
Cor2_upper,Firebreak_upper.0470,Corymbia sp. (clarksoniana/novoguinensis) ,8,0,83.553,0.7204,0.667544218791304,0.0829111358529929,18.607,18.191,16.927,19.182,19.05,15.27,60.19139861,47.99685275,21.428,19.1820615558933,18.6073235326598,18.1907960096919,16.9273191495799,19.0439157691176,17.6789649516261,60.1915812,55.7753221126698
Planch12_upper,Firebreak_upper.0499,Planchonia careya,5.48,0,23.249,0.6458,0.513332816370833,0.0516890920801603,7.565,7.696,7.027,7.486,6.49,5.34,15.01308521,12.30514554,12.3,7.49719036528621,7.57615787750022,7.7067150403549,7.0370446783547,6.49821636866417,5.19383241069516,15.0142042,11.9344746478055
Golden2_upper,Firebreak_upper.0554,Deplanchea tetraphylla,4.5,0,17.516,0.4262,0.427449562933333,0.0482560493824572,4.745,4.928,4.455,4.596,2.61,2.77,7.465401033,7.954119517,3.417,4.59647102289806,4.74487646710728,4.92753638202212,4.45525375243538,2.60686312658905,2.61432241622779,7.4653192,7.48720654434027
Pari1_upper,Firebreak_upper.0604,Parinari nonda,8,0,21.589,0.53,0.554222497,0.0886766504361294,18.607,18.191,16.927,19.182,14.12,12.66,11.44193987,10.23514307,12.327,19.1820615558933,18.6073235326598,18.1907960096919,16.9273191495799,14.1142421925124,14.7434814517007,11.44217,11.965109487733
Planch14_upper,Firebreak_upper.0639,Planchonia careya,7.16,0,14.56,0.6458,0.513332816370833,0.0516890920801603,14.298,14.141,13.086,14.564,12.9,10.62,9.401908452,7.706665984,8.274,14.5635435661459,14.297615639398,14.1413214325717,13.0863226682121,12.8965639648835,10.3078426613217,9.402848,7.47412580635933
3_upper,Firebreak_upper.0689,Lophostemon suaveolens,36.8,79.88,1125.286,0.551,0.568797555022222,0.0413758919524916,617.926,501.303,503.817,768.499,588.9,575.23,620.0777098,607.4189798,672.873,768.497715253844,617.924489371924,501.301767839057,503.815509260613,588.501763758356,609.564588513188,620.032586,640.059925500736
4_upper,Firebreak_upper.0700,Corymbia sp. (clarksoniana/novoguinensis) ,36.3,79.37,865.256,0.7204,0.667544218791304,0.0829111358529929,596.132,484.046,486.096,740.678,760.63,696.91,623.3283947,575.2401311,475.991,740.67309155102,596.126999549085,484.04119489314,486.091163920136,760.187217458339,700.012916952402,623.3304224,577.596640574489
5_upper,Firebreak_upper.0704,Parinari nonda,35.8,80.27,929.291,0.53,0.554222497,0.0886766504361294,573.341,465.682,467.289,712.015,521.42,536.26,492.5240385,505.2462053,633.322,712.011430565036,573.338028443607,465.678784920308,467.285359873636,521.100125053703,547.910327601274,492.52423,515.033978459627
2_upper,Firebreak_upper.0705,Acacia polystachya,40.2,134.07,1304.574,0.895,0.84498702926,0.0590323946470832,726.694,576.215,582.446,922.474,1199.69,1015.57,1167.593974,1003.283122,1226.882,922.470735178437,726.689978251154,576.211615447086,582.442639444982,1198.98738818319,1126.23368243793,1167.59373,1102.34810870984
